,Номер поручения,Выполнено,Затрачено дней,Сумма вознаграждения,Описание,lemm,group,Герой,Оценка за качество,Оценка по срокам,Оценка за вежливость
0,11000,да,4.0,6000,"В лесу по дороге от пещеры звери нападают на людей. Нужно убить их. Осмотрите все возможные укрытия, чтобы найти зверей.","в лес по дорога от пещера зверь нападать на человек . нужный убить они . осмотрите весь возможный укрытие , чтобы найти зверь .",4,Мартин,4,3,4
1,11001,да,2.0,20000,"В лесу по дороге от пещеры были замечены разбойники. Нужно убить их. Будьте осторожны, так как разбойники могут быть опасными.","в лес по дорога от пещера быть заметить разбойник . нужный убить они . быть осторожный , так как разбойник мочь быть опасный .",3,Альфред,5,5,4
2,11002,да,7.0,22500,"По дороге из деревни монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","по дорога из деревня монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Мартин,5,4,4
3,11003,да,5.0,5500,"Недалеко от города видели монстров. Нужно победить их. Будьте осторожны, так как монстры могут быть опасными.","недалеко от город видеть монстр . нужный победить они . быть осторожный , так как монстр мочь быть опасный .",3,Бендер,2,4,3
4,11004,да,8.0,10500,В деревне у меня пропала сумка с документами. Нужно найти её как можно скорее.,в деревня у я пропасть сумка с документ . нужный найти она как можно скорый .,1,Юлия,4,4,5
5,11005,да,4.0,9000,В лесу недалеко от города заметили зверей. Нужно убить их.,в лес недалеко от город заметить зверь . нужный убить они .,0,Агата,4,2,5
6,11006,да,8.0,8000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0,Фредерик,4,4,4
7,11007,да,10.0,21500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0,Альфред,5,3,2
8,11008,да,3.0,12000,Недалеко от города у меня потерялась драгоценность. Нужно найти её как можно скорее.,недалеко от город у я потеряться драгоценность . нужный найти она как можно скорый .,1,Фредерик,3,4,3
9,11009,да,2.0,28500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Пастушок,2,4,5
10,11010,да,4.0,22500,"Недалеко от города встречаются звери. Нужно убить их. Будьте осторожны, так как звери могут быть опасными.","недалеко от город встречаться зверь . нужный убить они . быть осторожный , так как зверь мочь быть опасный .",3,Альфред,4,4,5
11,11011,да,3.0,6500,"Недалеко от города заметили разбойников. Нужно прогнать их. Будьте осторожны, так как разбойники могут быть опасными.","недалеко от город заметить разбойник . нужный прогнать они . быть осторожный , так как разбойник мочь быть опасный .",3,Альфред,4,4,3
12,11012,да,4.0,11000,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0,Фредерик,3,4,4
13,11013,да,10.0,24500,В лесу около деревни разбойники нападают на людей. Нужно проучить их.,в лес около деревня разбойник нападать на человек . нужный проучить они .,0,Соня,3,3,4
14,11014,да,3.0,17500,В лесу по дороге от пещеры заметили зверей. Нужно убить их.,в лес по дорога от пещера заметить зверь . нужный убить они .,0,Пастушок,3,4,5
