,﻿Номер поручения,Заказчик,Дата поручения,Выполнено,Дата выполнения,Затрачено дней,Сумма вознаграждения,Описание,Номер поручения,group,Герой,Оценка за качество,Оценка по срокам,Оценка за вежливость
0,11318,Чарли,1051-01-03 00:00:00,да,1051-02-12,4.0,25500,В лесу недалеко от города звери нападают на людей. Нужно убить их.,11318,0,Мартин,5,3,4
1,11067,Анна,1051-01-10 00:00:00,да,1051-01-14,1.0,29500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,11067,0,Глюкоза,3,2,5
2,11026,Эмилио,1051-01-10 00:00:00,да,1051-01-18,1.0,15000,В лесу между городом и деревней видели монстров. Нужно победить их.,11026,0,Леопольд,5,4,4
3,11342,Бабушка Синь,1051-01-20 00:00:00,да,1051-02-18,6.0,7500,По дороге из деревни звери нападают на людей. Нужно убить их.,11342,0,Пастушок,5,4,4
4,11185,Мария,1051-01-22 00:00:00,да,1051-01-25,1.0,23000,В лесу между городом и деревней монстры нападают на людей. Нужно уничтожить их.,11185,0,Бендер,4,4,4
5,11193,Бабушка Синь,1051-01-22 00:00:00,да,1051-02-17,3.0,21500,"В лесу недалеко от города видели монстров. Нужно уничтожить их. Осмотрите все возможные укрытия, чтобы найти монстров.",11193,4,Глюкоза,3,3,5
6,11307,Влад,1051-01-22 00:00:00,да,1051-02-12,8.0,10500,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11307,2,Глюкоза,4,4,5
7,11135,Олег,1051-01-28 00:00:00,да,1051-02-13,7.0,25500,"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.",11135,3,Альфред,3,3,4
8,11401,Бабушка Синь,1051-01-28 00:00:00,да,1051-03-07,8.0,17000,"В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11401,2,Пастушок,5,4,2
9,11031,Аделина,1051-02-01 00:00:00,да,1051-03-24,5.0,29000,В городе у меня была украдена драгоценность. Нужно вернуть её как можно скорее.,11031,1,Пастушок,4,4,4
10,11265,Олег,1051-02-04 00:00:00,да,1051-03-22,1.0,11500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,11265,0,Альфред,4,3,3
11,11091,Аделина,1051-02-08 00:00:00,да,1051-03-26,3.0,19000,Недалеко от города монстры нападают на людей. Нужно уничтожить их.,11091,0,Альфред,5,4,4
12,11010,Анна,1051-02-12 00:00:00,да,1051-02-18,4.0,22500,"Недалеко от города встречаются звери. Нужно убить их. Будьте осторожны, так как звери могут быть опасными.",11010,3,Альфред,4,4,5
13,11451,Роман,1051-02-12 00:00:00,да,1051-02-27,8.0,8000,По дороге из деревни монстры похитили путников. Нужно освободить их.,11451,2,Пастушок,4,4,2
14,11007,Иван,1051-02-14 00:00:00,да,1051-03-26,10.0,21500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,11007,0,Альфред,5,3,2
15,11358,Егор,1051-02-15 00:00:00,да,1051-03-16,4.0,8500,В пещере завёлся дракон. Нужно его уничтожить.,11358,0,Бендер,4,4,5
16,11023,Леонтия,1051-02-16 00:00:00,да,1051-04-11,9.0,12500,В деревне у меня потерялся рюкзак. Нужно найти его как можно скорее.,11023,1,Юлия,5,4,5
17,11487,Максимилиан,1051-02-16 00:00:00,да,1051-03-30,3.0,17500,"По дороге из деревни заметили разбойников. Нужно прогнать их. Будьте осторожны, так как разбойники могут быть опасными.",11487,3,Глюкоза,4,4,4
18,11395,Чарли,1051-02-17 00:00:00,да,1051-04-02,2.0,24500,В лесу недалеко от города были замечены разбойники. Нужно проучить их.,11395,0,Соня,5,4,4
19,11173,Бабушка Синь,1051-02-18 00:00:00,да,1051-03-21,4.0,7500,"По дороге из деревни встречаются звери. Нужно прогнать их. Будьте осторожны, так как звери могут быть опасными.",11173,3,Леопольд,4,4,4
20,11216,Бабушка Синь,1051-02-18 00:00:00,да,1051-03-22,2.0,28000,"Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.",11216,1,Леопольд,4,3,4
21,11296,Роман,1051-02-20 00:00:00,да,1051-03-19,4.0,20500,По дороге из деревни заметили разбойников. Нужно проучить их.,11296,0,Бендер,4,3,4
22,11137,Бабушка Синь,1051-02-21 00:00:00,да,1051-03-03,9.0,16000,В лесу недалеко от города встречаются звери. Нужно убить их.,11137,0,Пастушок,3,3,3
23,11112,Аделина,1051-02-22 00:00:00,да,1051-04-12,8.0,6000,В городе у меня потерялась сумка с документами. Нужно вернуть её как можно скорее.,11112,1,Глюкоза,4,3,3
24,11146,Роман,1051-02-27 00:00:00,да,1051-03-20,5.0,28000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,11146,0,Соня,2,5,4
25,11199,Олег,1051-02-28 00:00:00,да,1051-03-17,6.0,7000,В лесу около деревни заметили разбойников. Нужно убить их.,11199,0,Бенедикт,4,4,2
26,11424,Аделина,1051-03-02 00:00:00,да,1051-03-29,5.0,9500,В лесу около деревни монстры нападают на людей. Нужно уничтожить их.,11424,0,Леопольд,4,3,2
27,11294,Иван,1051-03-05 00:00:00,да,1051-04-20,7.0,28500,"В лесу недалеко от города были замечены разбойники. Нужно проучить их. Осмотрите все возможные укрытия, чтобы найти разбойников.",11294,4,Юлия,4,4,2
28,11021,Чарли,1051-03-07 00:00:00,да,1051-04-04,5.0,13000,В лесу по дороге от пещеры заметили монстров. Нужно победить их.,11021,0,Леопольд,4,5,5
29,11450,Егор,1051-03-10 00:00:00,да,1051-04-26,9.0,21500,В деревне у меня потерялась сумка с документами. Нужно найти её как можно скорее.,11450,1,Глюкоза,4,4,4
30,11452,Иван,1051-03-14 00:00:00,да,1051-04-17,3.0,9000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,11452,0,Мартин,4,3,5
31,11238,Эмилио,1051-03-19 00:00:00,да,1051-04-24,2.0,21000,В лесу по дороге от пещеры разбойники нападают на людей. Нужно прогнать их.,11238,0,Синеглазый,4,4,4
32,11301,Анна,1051-03-23 00:00:00,да,1051-03-31,5.0,16000,В пещере завёлся дракон. Нужно его убить.,11301,0,Агата,5,4,4
33,11472,Бьянка,1051-03-23 00:00:00,да,1051-04-21,10.0,9000,В деревне монстры похитили путников. Нужно освободить их.,11472,2,Леопольд,4,5,4
34,11411,Анна,1051-03-23 00:00:00,да,1051-05-15,4.0,26000,"Недалеко от города у меня пропал рюкзак. Нужно вернуть его как можно скорее. Проверьте все места, где он мог быть оставлен.",11411,1,Бендер,4,4,4
35,11131,Татьяна,1051-03-27 00:00:00,да,1051-05-23,6.0,19000,В пещере завёлся дракон. Нужно его убить.,11131,0,Фредерик,4,3,4
36,11264,Чарли,1051-03-28 00:00:00,да,1051-05-10,4.0,29500,"В лесу между городом и деревней заметили монстров. Нужно уничтожить их. Будьте осторожны, так как монстры могут быть опасными.",11264,3,Леопольд,4,3,3
37,11178,Бьянка,1051-04-01 00:00:00,да,1051-05-08,3.0,21000,В деревне у меня был украден рюкзак. Нужно найти его как можно скорее.,11178,1,Глюкоза,4,4,3
38,11162,Чарли,1051-04-03 00:00:00,да,1051-04-26,3.0,6000,"По дороге из деревни разбойники нападают на людей. Нужно проучить их. Будьте осторожны, так как разбойники могут быть опасными.",11162,3,Фредерик,4,4,3
39,11392,Татьяна,1051-04-04 00:00:00,да,1051-05-25,5.0,11000,В пещере завёлся дракон. Нужно его убить.,11392,0,Бендер,4,3,4
40,11351,Мария,1051-04-06 00:00:00,да,1051-05-11,1.0,13500,"В лесу по дороге от пещеры звери нападают на людей. Нужно прогнать их. Осмотрите все возможные укрытия, чтобы найти зверей.",11351,4,Соня,5,4,3
41,11419,Аделина,1051-04-10 00:00:00,да,1051-05-22,9.0,22000,В лесу недалеко от города видели монстров. Нужно уничтожить их.,11419,0,Леопольд,4,3,5
42,11100,Анна,1051-04-10 00:00:00,да,1051-05-22,5.0,7500,"Недалеко от города заметили монстров. Нужно уничтожить их. Будьте осторожны, так как монстры могут быть опасными.",11100,3,Синеглазый,4,4,4
43,11242,Аделина,1051-04-13 00:00:00,да,1051-06-07,5.0,23000,"Недалеко от города у меня пропала сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.",11242,1,Фредерик,4,5,4
44,11274,Анна,1051-04-13 00:00:00,да,1051-04-23,8.0,16000,"В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11274,2,Бенедикт,3,5,4
